[2025-07-08 20:30:08.101959] TCP | N/A:61346 -> N/A:443 | Flags: FA | TTL: N/A | Window: 254 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:08.209135] TCP | N/A:61359 -> N/A:443 | Flags: A | TTL: N/A | Window: 254 | Payload: 1 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:08.249406] TCP | N/A:443 -> N/A:61359 | Flags: A | TTL: N/A | Window: 83 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:08.428321] TCP | N/A:443 -> N/A:61346 | Flags: A | TTL: N/A | Window: 70 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:08.743228] TCP | 13.89.178.27:443 -> 192.168.200.118:61404 | Flags: SA | TTL: 98 | Window: 65535 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:31:34.464827] TCP | N/A:443 -> N/A:61306 | Flags: FA | TTL: N/A | Window: 142 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:31:34.466777] TCP | N/A:61306 -> N/A:443 | Flags: A | TTL: N/A | Window: 252 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:31:34.470249] TCP | N/A:443 -> N/A:61268 | Flags: FA | TTL: N/A | Window: 19 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:31:34.471230] TCP | N/A:61268 -> N/A:443 | Flags: A | TTL: N/A | Window: 253 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:31:34.475142] TCP | N/A:443 -> N/A:61260 | Flags: FA | TTL: N/A | Window: 16 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:31:34.477093] TCP | N/A:61260 -> N/A:443 | Flags: A | TTL: N/A | Window: 251 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:31:34.480564] TCP | N/A:443 -> N/A:61605 | Flags: A | TTL: N/A | Window: 16388 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:31:34.486424] TCP | N/A:61252 -> N/A:443 | Flags: FA | TTL: N/A | Window: 254 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:31:34.490905] TCP | 192.168.200.118:61610 -> 8.8.8.8:53 | Flags: S | TTL: 128 | Window: 65535 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:31:34.493851] TCP | N/A:443 -> N/A:61605 | Flags: A | TTL: N/A | Window: 16388 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:31:34.499267] TCP | N/A:443 -> N/A:61284 | Flags: FA | TTL: N/A | Window: 16 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:31:34.501234] TCP | N/A:61284 -> N/A:443 | Flags: A | TTL: N/A | Window: 255 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:31:34.501234] TCP | N/A:443 -> N/A:61432 | Flags: R | TTL: N/A | Window: 0 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:31:34.533170] TCP | 8.8.8.8:53 -> 192.168.200.118:61610 | Flags: SA | TTL: 110 | Window: 65535 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:31:34.536091] TCP | 192.168.200.118:61610 -> 8.8.8.8:53 | Flags: A | TTL: 128 | Window: 255 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:31:34.537522] TCP | 192.168.200.118:61610 -> 8.8.8.8:53 | Flags: FA | TTL: 128 | Window: 255 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:31:34.574427] TCP | 8.8.8.8:53 -> 192.168.200.118:61610 | Flags: A | TTL: 110 | Window: 1054 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:31:34.576381] TCP | 8.8.8.8:53 -> 192.168.200.118:61610 | Flags: FA | TTL: 110 | Window: 1054 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:31:34.578334] TCP | 192.168.200.118:61610 -> 8.8.8.8:53 | Flags: A | TTL: 128 | Window: 255 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:31:34.745553] UDP | 0.0.0.0:68 -> 255.255.255.255:67 | Flags: N/A | TTL: 64 | Window: N/A | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> ff:ff:ff:ff:ff:ff
[2025-07-08 20:31:34.765365] TCP | N/A:443 -> N/A:61252 | Flags: FA | TTL: N/A | Window: 16388 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:31:34.767303] TCP | N/A:61252 -> N/A:443 | Flags: A | TTL: N/A | Window: 254 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:31:34.818565] TCP | N/A:56804 -> N/A:443 | Flags: PA | TTL: N/A | Window: 251 | Payload: 28 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:31:34.906023] TCP | N/A:443 -> N/A:56804 | Flags: A | TTL: N/A | Window: 501 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:31:35.048475] TCP | N/A:61611 -> N/A:443 | Flags: S | TTL: N/A | Window: 65535 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:31:35.068981] TCP | 192.168.200.118:61612 -> 13.89.179.14:443 | Flags: S | TTL: 128 | Window: 65535 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:31:35.302119] TCP | N/A:61613 -> N/A:443 | Flags: S | TTL: N/A | Window: 65535 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:31:35.308973] TCP | N/A:443 -> N/A:61611 | Flags: SA | TTL: N/A | Window: 65535 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:31:35.311583] TCP | N/A:61611 -> N/A:443 | Flags: A | TTL: N/A | Window: 255 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:31:35.312568] TCP | N/A:61611 -> N/A:443 | Flags: A | TTL: N/A | Window: 255 | Payload: 1340 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:31:35.314534] TCP | N/A:61611 -> N/A:443 | Flags: PA | TTL: N/A | Window: 255 | Payload: 529 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:31:35.315556] TCP | 13.89.179.14:443 -> 192.168.200.118:61612 | Flags: SA | TTL: 98 | Window: 65535 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:31:35.316466] TCP | 192.168.200.118:61612 -> 13.89.179.14:443 | Flags: A | TTL: 128 | Window: 255 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:31:35.318493] TCP | 192.168.200.118:61612 -> 13.89.179.14:443 | Flags: PA | TTL: 128 | Window: 255 | Payload: 517 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:31:35.377799] TCP | N/A:443 -> N/A:56804 | Flags: PA | TTL: N/A | Window: 501 | Payload: 27 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
